brand,product_name,size,arrival_date,status
Landspider,Lốp xe LANDSPIDER 185/55R16 83V CITYTRAXX G/P,185/55R16,28-11,đang về
Landspider,Lốp xe LANDSPIDER 195/65R15 91H CITYTRAXX G/P,195/65R15,28-11,đang về
Landspider,Lốp xe LANDSPIDER 215/70R16 100H CITYTRAXX H/T,215/70R16,28-11,đang về
Landspider,Lốp xe LANDSPIDER 225/45ZR18 95WXL CITYTRAXX H/P,225/45ZR18,28-11,đang về
Landspider,Lốp xe LANDSPIDER 225/50ZR18 99WXL CITYTRAXX H/P,225/50ZR18,28-11,đang về
Landspider,Lốp xe LANDSPIDER 225/55ZR18 102WXL CITYTRAXX H/P,225/55ZR18,28-11,đang về
Landspider,Lốp xe LANDSPIDER 225/60R18 100H CITYTRAXX H/T,225/60R18,28-11,đang về
