brand,product_name,size,code,price,quantity,arrival_date,image
Rovelo,Lốp Rovelo 195/55R16 RHP-A68,195/55R16,2-R16 195/55 RVL,,,,
Landspider,Lốp xe LANDSPIDER 195/55R16 87V CITYTRAXX G/P,195/55R16,2-R16 195/55 LPD,1044000,12,,
Landspider,Lốp xe LANDSPIDER 195/55R15 85V CITYTRAXX G/P,195/55R15,2-R15 195/55 LPD,963000,,,
Landspider,Lốp xe LANDSPIDER 205/60R16 92V CITYTRAXX G/P,205/60R16,2-R16 205/60 LPD,1098000,,,
Rovelo,Lốp Rovelo 195/75R16C RCMX+,195/75R16C,2-R16 195/75 RVL,1350000,14,,
Rovelo,Lốp Rovelo 225/70R15C RCMX+,225/70R15C,2-R15 225/70 RVL,,,,
Rovelo,Lốp Rovelo 175/65R14 RHP-A68,175/65R14,2-R14 175/65 RVL,,,,
Rovelo,Lốp Rovelo 165/60R14 RHP-A68,165/60R14,2-R14 165/60 RVL,,,,
